year	month	Litter_mgC/cm2/mon
2010	7	0.9440
2010	8	1.7002
2010	9	1.2435
2010	10	0.9499
2010	11	0.6989
2010	12	0.6638
2011	1	0.2657
2011	2	0.4689
2011	3	0.5999
2011	4	1.8881
2011	5	1.6508
2011	6	1.2324
2011	7	0.9048
2011	8	1.6306
2011	9	1.2834
2011	10	2.2041

