OBJ_Critical= 0.50  0.40
      fOBJ            LF0             r0            fRa           fINP             VP            KP1            fKM           PAR2           Qmax            Kba           Kdes             rE            pEP           fpEM             fD             gD             Vg          alpha             KD             Yg           Ygsl            Q10          gamma           beta          WPA2D            tau          wdorm        VNup_MB       KsNH4_MB       KsNO3_MB           VNif           VNit        VDenit1           PAR3          KsNif          KsNit       KsDenit1       KsDenit2        VNup_VG       KsNH4_VG       KsNO3_VG      fVNup_NO3       Qmax_NH4        Kba_NH4           Kp2u           Ku2p
  1.52         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00693574     0.08711937     1.50657308     0.53783207     0.37562766     0.02048919     0.32147150     0.23717726     0.20000000     0.01166540     1.49585347     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
  1.65         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00750573     0.05383170     0.66808894     0.53622475     0.58574033     0.09351588     0.11214988     0.37171129     0.20000000     0.01362154     1.21878850     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
  1.66         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00931000     0.06037665     1.25442946     0.65706806     0.37589760     0.02434864     0.42450995     0.34709496     0.20000000     0.00433773     2.25961134     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
  1.76         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00139733     0.04486699     1.08390219     0.72878723     0.13068211     0.09729538     0.42291214     0.44338417     0.20000000     0.00903904     1.82584171     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
  1.83         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00681965     0.07959072     0.91414130     0.50426559     0.20452118     0.08770424     0.29272691     0.26753117     0.20000000     0.00446139     1.68622489     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
  2.00         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00910424     0.02982421     2.17301824     0.46312008     0.73027899     0.01229047     0.38273388     0.38766581     0.20000000     0.00465256     1.95185385     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
  2.05         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00373600     0.07564876     4.74469159     0.33688736     0.73715725     0.05646197     0.32910882     0.21656592     0.20000000     0.01213568     1.40744965     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
  2.09         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00543197     0.09715765     2.36956363     0.58299675     0.24245791     0.03326168     0.49541263     0.32829048     0.20000000     0.00104110     1.27217855     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
  2.12         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00670297     0.07145398     4.07036541     0.38349037     0.80412064     0.00735905     0.28599510     0.31699551     0.20000000     0.00490331     1.89305248     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
  2.16         0.10000000     0.01000000     0.20000000     0.30000000    50.00000000    60.00000000    10.00000000   999.00000000     1.50000000     6.00000000     0.00600000     0.00890770     0.06354425     4.97458587     0.76676807     0.96881943     0.07245951     0.26305883     0.45940615     0.20000000     0.00413661     1.81087420     0.10000000     0.00100000     0.40000000     0.25000000     4.00000000     0.09931317     0.00018000     0.00041000     0.00289988    49.54672554     0.09998812   999.00000000     0.00100000     0.00120000     0.00180000     0.00180000     0.00007048     0.00120000     0.00180000     0.89998796     0.00997539   100.00000000     0.00000500     0.00100000
