year	month	SIN(root)
2010	9	0
2010	10	0
2010	11	0.025
2010	12	0.036
2011	1	0.036
2011	2	0.036
2011	3	0.023
2011	4	0
2011	5	0
2011	6	0
2011	7	0
2011	8	0
2011	9	0
