nrow= 26			
Depth: cm; SOC/POC/MOC/MBC: mgC/cm3					
ID	Property	 Value
1	Depth			100
2	Sand			0.28
3	Clay			0.13
4	CN_MB_mean		6.14
5	CN_MB_min		3
6	CN_MB_max		12
7	CN_EP1			3
8	CN_EP2			3
9	CN_EM			3
10	fQOM			0.015
11	SOC				31.28
12	POC				16.72
13	MOC				14.17
14	DOC				0.32
15	MBC				0.66
16	EP1				1.56e-3
17	EP2				1.56e-3
18	EM				1.56e-3
19	CN_SOM			13
20	CN_POM			12
21	CN_MOM			11.5
22	CN_DOM			11.5
23	CN_MB			6.14
24	NH4				2.8e-3
25	NO3				1.5e-3
26	rCN_LIG2LAB		2
